plant_name,benefits,allergens,remedies
Aloevera,"Soothes skin, aids digestion",May cause diarrhea if overused,"Aloe gel for burns, aloe juice for constipation"
Tomato,"Rich in antioxidants, supports heart health",Rare allergy in sensitive individuals,"Tomato juice for skin, tomato salad for digestion"
Tulsi,"Boosts immunity, relieves cough",Not for pregnant women,"Tulsi tea for cold, tulsi leaves for sore throat"
Turmeric,"Anti-inflammatory, supports joint health",Rare skin irritation,"Turmeric milk for immunity, turmeric paste for wounds"
Amla,"Rich in vitamin C, boosts immunity",None known,"Amla juice for digestion, amla powder for hair growth"
Amruthaballi,"Supports liver health, boosts immunity",None known,"Decoction for fever, immunity tonic"
Arali,"Ornamental, used in folk medicine",Toxic if ingested,External use in folk remedies only
Ashoka,Supports female reproductive health,None known,Ashoka bark decoction for menstrual health
Astma_weed,Relieves respiratory issues,Mild allergen,Leaves decoction for asthma
Badipala,Anti-inflammatory,None known,Paste for swelling
Balloon_Vine,Relieves joint pain,None known,Leaf paste for arthritis
Bamboo,"Rich in silica, supports bone health",None known,Bamboo shoot curry for nutrition
Beans,"Rich in protein, supports heart health",Possible legume allergy,Cooked beans for nutrition
Betel,Improves digestion,May irritate mouth,Betel leaf with herbs for digestion
Bhrami,Boosts memory,None known,Bhrami juice for brain health
Bringaraja,Promotes hair growth,None known,Oil for scalp health
Camphor,"Relieves cold, improves breathing",Strong smell may irritate,Camphor balm for chest congestion
Caricature,"Ornamental, limited medicinal use",None known,Used in folk remedies
Castor,"Laxative, promotes hair growth",May cause diarrhea,Castor oil for hair and constipation
Catharanthus,Anti-cancer properties,Toxic in large doses,Used in Ayurveda for diabetes control
Chakte,Used in folk medicine,None known,Leaf paste for skin ailments
Chilly,Boosts metabolism,Can irritate stomach,Used in cooking for metabolism boost
Citron lime (herelikai),Rich in vitamin C,None known,Juice for sore throat
Coffee,"Stimulant, boosts alertness",Caffeine sensitivity,Coffee drink for energy
Common rue(naagdalli),Relieves digestive issues,Toxic in high doses,Herbal tea for digestion
Coriender,Improves digestion,None known,Coriander water for cooling effect
Curry,Rich in antioxidants,None known,Curry leaf chutney for hair health
Doddpathre,Relieves cough,None known,Leaf juice for cough
Drumstick,"Rich in vitamins, improves bone health",None known,Leaves curry for nutrition
Ekka,Used in folk remedies,Toxic if misused,Root paste for joint pain
Eucalyptus,Relieves cold,None known,Eucalyptus steam inhalation for cold
Ganigale,Used in folk remedies,None known,Decoction for fever
Ganike,Supports liver health,None known,Leaf juice for detox
Gasagase,Improves sleep,None known,Gasagase kheer for relaxation
Ginger,Aids digestion,Can cause acidity,Ginger tea for cold and digestion
Globe Amarnath,Rich in antioxidants,None known,Flower tea for health
Guava,Rich in vitamin C,None known,Guava fruit for immunity
Henna,"Cools body, natural dye",Rare skin allergy,Henna paste for hair coloring
Hibiscus,Supports heart health,None known,Hibiscus tea for blood pressure
Honge,Used for skin issues,None known,Oil for skin ailments
Insulin,Helps control blood sugar,None known,Leaf decoction for diabetes
Jackfruit,Rich in nutrients,May cause bloating,Jackfruit curry for nutrition
Jasmine,Relieves stress,None known,Jasmine tea for relaxation
Kamakasturi,Relieves cough,None known,Leaf decoction for cough
Kambajala,Used in folk medicine,None known,Paste for skin issues
Kasambruga,Aromatic herb,None known,Herbal tea
Kepala,Used in folk remedies,None known,Leaf juice for wounds
Kohlrabi,Rich in fiber,None known,Kohlrabi curry for digestion
Lantana,Anti-inflammatory,Toxic if ingested,Leaf paste for swelling
Lemon,Rich in vitamin C,Can cause acidity,Lemon water for detox
Lemongrass,Relieves anxiety,None known,Lemongrass tea for relaxation
Malabar_Nut,Relieves cough,None known,Leaf juice for respiratory issues
Malabar_Spinach,Rich in iron,None known,Leaf curry for nutrition
Mango,Rich in vitamin A,Can cause allergy,Mango fruit for skin health
Marigold,Anti-inflammatory,None known,Flower paste for wounds
Mint,Improves digestion,None known,Mint tea for cooling effect
Neem,"Antibacterial, blood purifier",Can cause skin irritation,Neem paste for acne
Nelavembu,Boosts immunity,None known,Decoction for fever
Nerale,Rich in antioxidants,None known,Fruit for diabetes control
Nooni,Used in folk remedies,None known,Leaf paste for wounds
Onion,Improves heart health,May cause tears,Onion juice for hair growth
Padri,Used in folk remedies,None known,Leaf paste for swelling
Palak(Spinach),Rich in iron,None known,Spinach curry for nutrition
Papaya,Aids digestion,May cause allergy,Papaya fruit for constipation
Parijatha,Relieves cough,None known,Flower decoction for cold
Pea,Rich in protein,Possible legume allergy,Cooked peas for protein
Pepper,Improves digestion,Can irritate stomach,Pepper tea for cold
Pomoegranate,Rich in antioxidants,None known,Fruit for heart health
Pumpkin,Rich in vitamin A,None known,Pumpkin curry for nutrition
Raddish,Aids digestion,None known,Radish salad for digestion
Rose,Cools body,None known,Rose water for skin
Sampige,Aromatic flower,None known,Used in garlands and tea
Sapota,Rich in energy,None known,Sapota fruit for nutrition
Seethaashoka,Supports reproductive health,None known,Bark decoction for menstrual health
Seethapala,Rich in vitamins,None known,Fruit for immunity
Spinach1,Rich in iron,None known,Leaf curry for nutrition
Tamarind,Improves digestion,None known,Tamarind water for digestion
Taro,Rich in fiber,None known,Cooked taro for digestion
Tecoma,Ornamental with medicinal use,None known,Flower decoction for cough
Thumbe,Used for cold relief,None known,Leaf juice for cold
